Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Median time in port (days),Median time in port (days) Footnote,Median time in port (days) Missing value,Average age of vessels (years),Average age of vessels (years) Footnote,Average age of vessels (years) Missing value,Average size (GT) of vessels,Average size (GT) of vessels Footnote,Average size (GT) of vessels Missing value,Average cargo carrying capacity (dwt) per vessel,Average cargo carrying capacity (dwt) per vessel Footnote,Average cargo carrying capacity (dwt) per vessel Missing value,Average container carrying capacity (TEU) per container ship,Average container carrying capacity (TEU) per container ship Footnote,Average container carrying capacity (TEU) per container ship Missing value,Maximum size (GT) of vessels,Maximum size (GT) of vessels Footnote,Maximum size (GT) of vessels Missing value,Maximum cargo carrying capacity (dwt) of vessels,Maximum cargo carrying capacity (dwt) of vessels Footnote,Maximum cargo carrying capacity (dwt) of vessels Missing value,Maximum container carrying capacity (TEU) of container ships,Maximum container carrying capacity (TEU) of container ships Footnote,Maximum container carrying capacity (TEU) of container ships Missing value
2018,0000,"World",00,"All ships",0.97,,,18,,,15066,,,24210,,,3538,,,234006,,,441561,,,21413,,
2018,0000,"World",02,"Liquid bulk carriers",0.94,,,13,,,15543,,,27014,,,,,"Not available or not separately reported",234006,,,441561,,,,,"Not available or not separately reported"
2018,0000,"World",07,"Liquefied petroleum gas carriers",1.02,,,14,,,10662,,,12046,,,,,"Not available or not separately reported",58100,,,64220,,,,,"Not available or not separately reported"
2018,0000,"World",08,"Liquefied natural gas carriers",1.11,,,10,,,93791,,,72964,,,,,"Not available or not separately reported",168189,,,155159,,,,,"Not available or not separately reported"
2018,0000,"World",05,"Dry bulk carriers",2.05,,,13,,,31940,,,57181,,,,,"Not available or not separately reported",203483,,,404389,,,,,"Not available or not separately reported"
2018,0000,"World",04,"Dry breakbulk carriers",1.11,,,19,,,5438,,,7384,,,,,"Not available or not separately reported",91784,,,138743,,,,,"Not available or not separately reported"
2018,0000,"World",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",17,,,25368,,,10232,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
2018,0000,"World",03,"Container ships",0.7,,,13,,,38520,,,,,"Not available or not separately reported",3538,,,217673,,,,,"Not available or not separately reported",21413,,
2018,0000,"World",01,"Passenger ships",,,"Not available or not separately reported",21,,,8928,,,,,"Not available or not separately reported",,,"Not available or not separately reported",228081,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,036,"Australia",00,"All ships",1.48,,,19,,,25949,,,78485,,,4361,,,168666,,,299688,,,8530,,
2018,036,"Australia",02,"Liquid bulk carriers",1.34,,,7,,,23943,,,40913,,,,,"Not available or not separately reported",154182,,,299271,,,,,"Not available or not separately reported"
2018,036,"Australia",07,"Liquefied petroleum gas carriers",0.9,,,11,,,12252,,,14296,,,,,"Not available or not separately reported",48963,,,58757,,,,,"Not available or not separately reported"
2018,036,"Australia",08,"Liquefied natural gas carriers",1.22,,,9,,,110313,,,84221,,,,,"Not available or not separately reported",144978,,,121963,,,,,"Not available or not separately reported"
2018,036,"Australia",05,"Dry bulk carriers",1.65,,,9,,,59510,,,111657,,,,,"Not available or not separately reported",152305,,,299688,,,,,"Not available or not separately reported"
2018,036,"Australia",04,"Dry breakbulk carriers",1.79,,,12,,,16537,,,23130,,,,,"Not available or not separately reported",54651,,,88272,,,,,"Not available or not separately reported"
2018,036,"Australia",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",14,,,40761,,,15442,,,,,"Not available or not separately reported",77000,,,43878,,,,,"Not available or not separately reported"
2018,036,"Australia",03,"Container ships",1.2,,,12,,,47387,,,,,"Not available or not separately reported",4361,,,94483,,,,,"Not available or not separately reported",8530,,
2018,036,"Australia",01,"Passenger ships",,,"Not available or not separately reported",28,,,4682,,,,,"Not available or not separately reported",,,"Not available or not separately reported",168666,,,,,"Not available or not separately reported",,,"Not available or not separately reported"
2018,124,"Canada",00,"All ships",0.65,,,24,,,14037,,,35138,,,5185,,,168666,,,319547,,,14568,,
2018,124,"Canada",02,"Liquid bulk carriers",1.12,,,11,,,22294,,,37213,,,,,"Not available or not separately reported",161367,,,319547,,,,,"Not available or not separately reported"
2018,124,"Canada",05,"Dry bulk carriers",0.32,,,23,,,27302,,,46973,,,,,"Not available or not separately reported",108237,,,209935,,,,,"Not available or not separately reported"
2018,124,"Canada",04,"Dry breakbulk carriers",0.28,,,9,,,10014,,,12623,,,,,"Not available or not separately reported",37499,,,61860,,,,,"Not available or not separately reported"
2018,124,"Canada",06,"Roll-on/ roll-off ships",,,"Not available or not separately reported",24,,,14882,,,7767,,,,,"Not available or not separately reported",100430,,,55828,,,,,"Not available or not separately reported"
