Year,Economy,Economy Label,CommercialMarket,CommercialMarket Label,Number of port calls,Number of port calls Footnote,Number of port calls Missing value
2018,0001,"Individual economies",00,"All ships",,,"Not applicable"
2018,0001,"Individual economies",02,"Liquid bulk carriers",,,"Not applicable"
2018,0001,"Individual economies",07,"Liquefied petroleum gas carriers",,,"Not applicable"
2018,0001,"Individual economies",08,"Liquefied natural gas carriers",,,"Not applicable"
2018,0001,"Individual economies",05,"Dry bulk carriers",,,"Not applicable"
2018,0001,"Individual economies",04,"Dry breakbulk carriers",,,"Not applicable"
2018,0001,"Individual economies",06,"Roll-on/ roll-off ships",,,"Not applicable"
2018,0001,"Individual economies",03,"Container ships",,,"Not applicable"
2018,0001,"Individual economies",01,"Passenger ships",,,"Not applicable"
2018,036,"Australia",00,"All ships",62029,,
2018,036,"Australia",02,"Liquid bulk carriers",3673,,
2018,036,"Australia",07,"Liquefied petroleum gas carriers",360,,
2018,036,"Australia",08,"Liquefied natural gas carriers",1053,,
2018,036,"Australia",05,"Dry bulk carriers",14690,,
2018,036,"Australia",04,"Dry breakbulk carriers",2530,,
2018,036,"Australia",06,"Roll-on/ roll-off ships",3052,,
2018,036,"Australia",03,"Container ships",4425,,
2018,036,"Australia",01,"Passenger ships",32246,,
2018,124,"Canada",00,"All ships",86533,,
2018,124,"Canada",02,"Liquid bulk carriers",4721,,
2018,124,"Canada",05,"Dry bulk carriers",13562,,
2018,124,"Canada",04,"Dry breakbulk carriers",3281,,
2018,124,"Canada",06,"Roll-on/ roll-off ships",3530,,
2018,124,"Canada",03,"Container ships",2131,,
2018,124,"Canada",01,"Passenger ships",59308,,
2018,156,"China",00,"All ships",240385,,
2018,156,"China",02,"Liquid bulk carriers",35842,,
2018,156,"China",07,"Liquefied petroleum gas carriers",7061,,
2018,156,"China",08,"Liquefied natural gas carriers",694,,
2018,156,"China",05,"Dry bulk carriers",54901,,
2018,156,"China",04,"Dry breakbulk carriers",28805,,
2018,156,"China",06,"Roll-on/ roll-off ships",6610,,
2018,156,"China",03,"Container ships",71535,,
2018,156,"China",01,"Passenger ships",34937,,
2018,191,"Croatia",00,"All ships",68378,,
2018,191,"Croatia",02,"Liquid bulk carriers",572,,
2018,191,"Croatia",05,"Dry bulk carriers",362,,
2018,191,"Croatia",04,"Dry breakbulk carriers",765,,
2018,191,"Croatia",03,"Container ships",394,,
2018,191,"Croatia",01,"Passenger ships",66285,,
2018,208,"Denmark",00,"All ships",113642,,
2018,208,"Denmark",02,"Liquid bulk carriers",2840,,
2018,208,"Denmark",07,"Liquefied petroleum gas carriers",78,,
2018,208,"Denmark",05,"Dry bulk carriers",783,,
2018,208,"Denmark",04,"Dry breakbulk carriers",8151,,
2018,208,"Denmark",06,"Roll-on/ roll-off ships",1185,,
2018,208,"Denmark",03,"Container ships",1171,,
2018,208,"Denmark",01,"Passenger ships",99434,,
2018,251,"France",00,"All ships",71705,,
2018,251,"France",02,"Liquid bulk carriers",8206,,
